




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (3846)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cytoskeleton-dependent intracellular transport (GO:0030705)	170	64	31.14	+	2.06	2.48E-02
RNA catabolic process (GO:0006401)	242	91	44.33	+	2.05	2.33E-04
negative regulation of cell cycle phase transition (GO:1901988)	232	87	42.50	+	2.05	4.77E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	73	35.72	+	2.04	5.74E-03
regulation of chromatin organization (GO:1902275)	187	70	34.25	+	2.04	1.19E-02
regulation of translation (GO:0006417)	342	128	62.65	+	2.04	4.03E-07
regulation of mitotic cell cycle (GO:0007346)	636	238	116.50	+	2.04	1.13E-15
cell cycle process (GO:0022402)	958	358	175.48	+	2.04	3.94E-25
mRNA metabolic process (GO:0016071)	683	255	125.11	+	2.04	6.70E-17
translation (GO:0006412)	395	147	72.36	+	2.03	2.33E-08
response to endoplasmic reticulum stress (GO:0034976)	241	89	44.15	+	2.02	7.53E-04
posttranscriptional regulation of gene expression (GO:0010608)	512	188	93.79	+	2.00	4.26E-11
organelle fission (GO:0048285)	303	111	55.50	+	2.00	2.19E-05
ncRNA processing (GO:0034470)	383	140	70.16	+	2.00	2.11E-07
peptidyl-lysine modification (GO:0018205)	308	112	56.42	+	1.99	2.81E-05
nuclear division (GO:0000280)	275	100	50.37	+	1.99	1.86E-04
regulation of nuclear division (GO:0051783)	209	76	38.28	+	1.99	1.16E-02
peptide biosynthetic process (GO:0043043)	418	152	76.57	+	1.99	3.61E-08
cell cycle (GO:0007049)	1314	477	240.70	+	1.98	1.85E-32
organelle localization (GO:0051640)	597	216	109.36	+	1.98	1.64E-12
macromolecule methylation (GO:0043414)	246	89	45.06	+	1.98	1.47E-03
mRNA catabolic process (GO:0006402)	211	76	38.65	+	1.97	1.30E-02
nuclear chromosome segregation (GO:0098813)	214	77	39.20	+	1.96	1.05E-02
DNA repair (GO:0006281)	495	178	90.67	+	1.96	1.00E-09
regulation of cell cycle process (GO:0010564)	761	272	139.40	+	1.95	4.82E-16
regulation of cellular amide metabolic process (GO:0034248)	408	145	74.74	+	1.94	4.96E-07
regulation of gene expression, epigenetic (GO:0040029)	232	82	42.50	+	1.93	1.12E-02
Golgi vesicle transport (GO:0048193)	365	129	66.86	+	1.93	6.64E-06
nucleobase-containing compound transport (GO:0015931)	241	85	44.15	+	1.93	5.70E-03
proteasomal protein catabolic process (GO:0010498)	338	119	61.91	+	1.92	3.86E-05
positive regulation of cell cycle (GO:0045787)	395	139	72.36	+	1.92	1.86E-06
histone modification (GO:0016570)	367	129	67.23	+	1.92	1.03E-05
ribonucleoprotein complex biogenesis (GO:0022613)	442	155	80.96	+	1.91	2.46E-07
ribosome biogenesis (GO:0042254)	289	101	52.94	+	1.91	7.95E-04
nucleocytoplasmic transport (GO:0006913)	249	87	45.61	+	1.91	5.73E-03
ribonucleoprotein complex subunit organization (GO:0071826)	241	84	44.15	+	1.90	1.16E-02
covalent chromatin modification (GO:0016569)	379	132	69.42	+	1.90	8.78E-06
cellular macromolecule catabolic process (GO:0044265)	880	306	161.20	+	1.90	5.11E-17
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	314	109	57.52	+	1.90	3.73E-04
modification-dependent macromolecule catabolic process (GO:0043632)	528	183	96.72	+	1.89	6.70E-09
negative regulation of mitotic cell cycle (GO:0045930)	306	106	56.05	+	1.89	5.55E-04
RNA metabolic process (GO:0016070)	1669	578	305.72	+	1.89	8.17E-36
nuclear transport (GO:0051169)	252	87	46.16	+	1.88	9.22E-03
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	296	102	54.22	+	1.88	1.12E-03
regulation of cellular protein catabolic process (GO:1903362)	247	85	45.24	+	1.88	1.52E-02
chromosome organization (GO:0051276)	1036	356	189.77	+	1.88	1.15E-19
ribonucleoprotein complex assembly (GO:0022618)	227	78	41.58	+	1.88	4.03E-02
establishment of organelle localization (GO:0051656)	402	138	73.64	+	1.87	7.91E-06
peptide metabolic process (GO:0006518)	558	191	102.21	+	1.87	5.45E-09
gene expression (GO:0010467)	2005	685	367.27	+	1.87	3.51E-42
cellular protein catabolic process (GO:0044257)	601	205	110.09	+	1.86	1.22E-09
proteolysis involved in cellular protein catabolic process (GO:0051603)	572	195	104.78	+	1.86	4.64E-09
nucleic acid metabolic process (GO:0090304)	2309	785	422.96	+	1.86	4.73E-49
DNA metabolic process (GO:0006259)	801	272	146.73	+	1.85	1.21E-13
regulation of cell cycle (GO:0051726)	1177	399	215.60	+	1.85	1.16E-21
cellular response to DNA damage stimulus (GO:0006974)	762	258	139.58	+	1.85	9.77E-13
modification-dependent protein catabolic process (GO:0019941)	517	175	94.70	+	1.85	1.10E-07
protein catabolic process (GO:0030163)	665	225	121.81	+	1.85	1.09E-10
protein modification by small protein removal (GO:0070646)	293	99	53.67	+	1.84	4.04E-03
macromolecule catabolic process (GO:0009057)	1023	345	187.39	+	1.84	8.04E-18
DNA conformation change (GO:0071103)	270	91	49.46	+	1.84	1.34E-02
protein polyubiquitination (GO:0000209)	294	99	53.85	+	1.84	4.28E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	511	172	93.60	+	1.84	2.48E-07
negative regulation of cell cycle process (GO:0010948)	327	110	59.90	+	1.84	9.69E-04
protein deubiquitination (GO:0016579)	276	92	50.56	+	1.82	1.70E-02
vesicle organization (GO:0016050)	295	98	54.04	+	1.81	8.77E-03
negative regulation of cell cycle (GO:0045786)	578	192	105.88	+	1.81	4.83E-08
methylation (GO:0032259)	313	103	57.33	+	1.80	6.22E-03
amide biosynthetic process (GO:0043604)	534	175	97.82	+	1.79	1.15E-06
viral process (GO:0016032)	690	225	126.39	+	1.78	3.01E-09
regulation of mRNA metabolic process (GO:1903311)	322	105	58.98	+	1.78	8.46E-03
regulation of autophagy (GO:0010506)	319	104	58.43	+	1.78	7.76E-03
regulation of cellular catabolic process (GO:0031329)	854	278	156.43	+	1.78	3.62E-12
protein localization to organelle (GO:0033365)	705	229	129.14	+	1.77	2.58E-09
RNA biosynthetic process (GO:0032774)	656	213	120.16	+	1.77	1.87E-08
cellular macromolecule biosynthetic process (GO:0034645)	1708	554	312.87	+	1.77	9.62E-28
microtubule-based process (GO:0007017)	644	208	117.97	+	1.76	4.71E-08
positive regulation of cellular protein localization (GO:1903829)	320	103	58.62	+	1.76	1.53E-02
transcription, DNA-templated (GO:0006351)	644	207	117.97	+	1.75	9.01E-08
regulation of protein catabolic process (GO:0042176)	389	125	71.26	+	1.75	1.17E-03
nucleic acid-templated transcription (GO:0097659)	645	207	118.15	+	1.75	9.27E-08
chromatin organization (GO:0006325)	690	221	126.39	+	1.75	2.16E-08
microtubule cytoskeleton organization (GO:0000226)	456	146	83.53	+	1.75	1.16E-04
symbiont process (GO:0044403)	767	245	140.50	+	1.74	1.44E-09
macromolecule biosynthetic process (GO:0009059)	1761	560	322.58	+	1.74	2.19E-26
protein modification by small protein conjugation or removal (GO:0070647)	973	309	178.23	+	1.73	1.23E-12
regulation of catabolic process (GO:0009894)	971	308	177.87	+	1.73	1.59E-12
nucleobase-containing compound metabolic process (GO:0006139)	2960	931	542.21	+	1.72	1.35E-47
positive regulation of organelle organization (GO:0010638)	611	192	111.92	+	1.72	2.04E-06
intracellular protein transport (GO:0006886)	981	308	179.70	+	1.71	5.51E-12
protein modification by small protein conjugation (GO:0032446)	765	240	140.13	+	1.71	1.24E-08
cellular response to stress (GO:0033554)	1662	519	304.44	+	1.70	1.66E-22
regulation of DNA metabolic process (GO:0051052)	424	132	77.67	+	1.70	2.50E-03
peptidyl-amino acid modification (GO:0018193)	902	280	165.23	+	1.69	3.87E-10
heterocycle metabolic process (GO:0046483)	3128	962	572.98	+	1.68	6.79E-46
cellular nitrogen compound metabolic process (GO:0034641)	3608	1104	660.91	+	1.67	5.32E-54
cellular nitrogen compound biosynthetic process (GO:0044271)	1675	512	306.82	+	1.67	2.00E-20
regulation of cellular protein localization (GO:1903827)	525	160	96.17	+	1.66	4.59E-04
transcription by RNA polymerase II (GO:0006366)	487	148	89.21	+	1.66	1.75E-03
cellular macromolecule localization (GO:0070727)	1561	474	285.94	+	1.66	4.20E-18
cellular protein localization (GO:0034613)	1553	471	284.48	+	1.66	8.40E-18
cellular aromatic compound metabolic process (GO:0006725)	3172	962	581.04	+	1.66	1.25E-43
nucleobase-containing compound catabolic process (GO:0034655)	406	123	74.37	+	1.65	2.21E-02
protein ubiquitination (GO:0016567)	687	208	125.84	+	1.65	5.00E-06
interspecies interaction between organisms (GO:0044419)	810	245	148.37	+	1.65	1.43E-07
organelle organization (GO:0006996)	3342	1003	612.18	+	1.64	2.57E-44
protein transport (GO:0015031)	1480	443	271.10	+	1.63	1.31E-15
establishment of protein localization to organelle (GO:0072594)	412	123	75.47	+	1.63	3.46E-02
cellular amide metabolic process (GO:0043603)	805	240	147.46	+	1.63	7.15E-07
intracellular transport (GO:0046907)	1537	458	281.54	+	1.63	4.90E-16
mitochondrion organization (GO:0007005)	444	132	81.33	+	1.62	1.84E-02
regulation of organelle organization (GO:0033043)	1272	378	233.00	+	1.62	1.89E-12
organic cyclic compound metabolic process (GO:1901360)	3391	1007	621.16	+	1.62	7.96E-43
nucleobase-containing compound biosynthetic process (GO:0034654)	1129	334	206.81	+	1.62	2.52E-10
peptide transport (GO:0015833)	1505	445	275.68	+	1.61	5.64E-15
establishment of protein localization (GO:0045184)	1563	462	286.31	+	1.61	1.18E-15
heterocycle biosynthetic process (GO:0018130)	1198	354	219.45	+	1.61	4.17E-11
protein localization (GO:0008104)	2098	617	384.31	+	1.61	4.78E-22
cellular macromolecule metabolic process (GO:0044260)	5085	1495	931.46	+	1.61	4.94E-71
cellular localization (GO:0051641)	2392	703	438.16	+	1.60	6.45E-26
amide transport (GO:0042886)	1537	451	281.54	+	1.60	1.13E-14
cellular protein-containing complex assembly (GO:0034622)	825	242	151.12	+	1.60	2.53E-06
cellular protein metabolic process (GO:0044267)	3729	1088	683.07	+	1.59	2.59E-44
regulation of cellular response to stress (GO:0080135)	703	205	128.77	+	1.59	8.85E-05
cellular catabolic process (GO:0044248)	1774	516	324.96	+	1.59	9.69E-17
aromatic compound biosynthetic process (GO:0019438)	1207	351	221.10	+	1.59	3.49E-10
organonitrogen compound catabolic process (GO:1901565)	1033	300	189.22	+	1.59	3.87E-08
organelle assembly (GO:0070925)	712	206	130.42	+	1.58	1.39E-04
establishment of localization in cell (GO:0051649)	1786	515	327.16	+	1.57	3.81E-16
cellular biosynthetic process (GO:0044249)	2795	803	511.98	+	1.57	6.29E-28
organic substance biosynthetic process (GO:1901576)	2900	827	531.22	+	1.56	4.61E-28
organonitrogen compound biosynthetic process (GO:1901566)	1442	409	264.14	+	1.55	4.80E-11
macromolecule modification (GO:0043412)	3315	939	607.23	+	1.55	2.95E-32
biosynthetic process (GO:0009058)	2958	837	541.84	+	1.54	1.34E-27
organic cyclic compound biosynthetic process (GO:1901362)	1344	380	246.19	+	1.54	8.03E-10
macromolecule localization (GO:0033036)	2431	686	445.31	+	1.54	4.98E-21
cellular protein modification process (GO:0006464)	3106	875	568.95	+	1.54	1.15E-28
protein modification process (GO:0036211)	3106	875	568.95	+	1.54	1.15E-28
macromolecule metabolic process (GO:0043170)	6258	1760	1146.33	+	1.54	1.04E-76
organic substance catabolic process (GO:1901575)	1728	485	316.53	+	1.53	4.65E-13
negative regulation of protein modification process (GO:0031400)	582	163	106.61	+	1.53	2.34E-02
catabolic process (GO:0009056)	2012	561	368.55	+	1.52	2.25E-15
nitrogen compound transport (GO:0071705)	1803	499	330.27	+	1.51	1.27E-12
cellular component biogenesis (GO:0044085)	2680	739	490.92	+	1.51	8.07E-21
protein-containing complex subunit organization (GO:0043933)	1818	500	333.02	+	1.50	2.68E-12
cellular metabolic process (GO:0044237)	7670	2098	1404.97	+	1.49	5.72E-92
positive regulation of cellular component organization (GO:0051130)	1223	333	224.03	+	1.49	1.43E-06
nitrogen compound metabolic process (GO:0006807)	7228	1964	1324.01	+	1.48	1.48E-79
apoptotic process (GO:0006915)	904	243	165.59	+	1.47	1.40E-03
protein metabolic process (GO:0019538)	4415	1186	808.73	+	1.47	1.35E-34
cellular component assembly (GO:0022607)	2459	660	450.43	+	1.47	1.49E-15
protein-containing complex assembly (GO:0065003)	1538	411	281.73	+	1.46	6.97E-08
primary metabolic process (GO:0044238)	7725	2064	1415.05	+	1.46	1.74E-80
cellular component organization or biogenesis (GO:0071840)	5760	1532	1055.10	+	1.45	5.08E-48
protein phosphorylation (GO:0006468)	981	260	179.70	+	1.45	1.34E-03
organic substance metabolic process (GO:0071704)	8029	2119	1470.73	+	1.44	1.20E-79
cellular component organization (GO:0016043)	5580	1470	1022.13	+	1.44	6.23E-43
cytoskeleton organization (GO:0007010)	1062	279	194.53	+	1.43	8.51E-04
metabolic process (GO:0008152)	8478	2220	1552.98	+	1.43	8.48E-84
regulation of cellular component organization (GO:0051128)	2479	649	454.10	+	1.43	3.72E-13
regulation of cellular localization (GO:0060341)	892	232	163.39	+	1.42	2.31E-02
organic substance transport (GO:0071702)	2176	565	398.59	+	1.42	2.46E-10
negative regulation of cellular protein metabolic process (GO:0032269)	1023	265	187.39	+	1.41	5.10E-03
organonitrogen compound metabolic process (GO:1901564)	5535	1423	1013.89	+	1.40	6.81E-36
negative regulation of gene expression (GO:0010629)	1697	436	310.85	+	1.40	1.35E-06
negative regulation of protein metabolic process (GO:0051248)	1087	279	199.11	+	1.40	4.68E-03
phosphorylation (GO:0016310)	1331	339	243.81	+	1.39	4.63E-04
negative regulation of macromolecule biosynthetic process (GO:0010558)	1457	371	266.89	+	1.39	9.22E-05
cell death (GO:0008219)	1070	272	196.00	+	1.39	1.25E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1379	350	252.60	+	1.39	3.50E-04
phosphate-containing compound metabolic process (GO:0006796)	2205	559	403.91	+	1.38	1.32E-08
negative regulation of biosynthetic process (GO:0009890)	1541	390	282.28	+	1.38	6.68E-05
phosphorus metabolic process (GO:0006793)	2232	564	408.85	+	1.38	1.71E-08
negative regulation of cellular biosynthetic process (GO:0031327)	1517	381	277.88	+	1.37	2.38E-04
proteolysis (GO:0006508)	1344	337	246.19	+	1.37	1.95E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1897	475	347.49	+	1.37	4.32E-06
regulation of protein metabolic process (GO:0051246)	2744	685	502.64	+	1.36	2.26E-10
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1459	364	267.26	+	1.36	8.85E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2609	649	477.91	+	1.36	2.70E-09
regulation of cellular protein metabolic process (GO:0032268)	2566	637	470.03	+	1.36	7.07E-09
positive regulation of gene expression (GO:0010628)	1965	484	359.94	+	1.34	1.91E-05
negative regulation of metabolic process (GO:0009892)	2854	702	522.79	+	1.34	1.42E-09
positive regulation of RNA metabolic process (GO:0051254)	1705	419	312.32	+	1.34	3.37E-04
regulation of protein modification process (GO:0031399)	1805	443	330.64	+	1.34	1.53E-04
positive regulation of macromolecule biosynthetic process (GO:0010557)	1875	460	343.46	+	1.34	7.80E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3295	807	603.57	+	1.34	2.34E-11
negative regulation of nitrogen compound metabolic process (GO:0051172)	2348	572	430.10	+	1.33	1.82E-06
vesicle-mediated transport (GO:0016192)	1913	466	350.42	+	1.33	1.46E-04
positive regulation of cellular protein metabolic process (GO:0032270)	1567	380	287.04	+	1.32	5.90E-03
negative regulation of cellular metabolic process (GO:0031324)	2520	611	461.61	+	1.32	7.73E-07
positive regulation of protein metabolic process (GO:0051247)	1669	403	305.72	+	1.32	3.28E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1972	476	361.23	+	1.32	2.63E-04
positive regulation of metabolic process (GO:0009893)	3565	860	653.03	+	1.32	4.29E-11
positive regulation of nitrogen compound metabolic process (GO:0051173)	3151	758	577.19	+	1.31	6.76E-09
positive regulation of biosynthetic process (GO:0009891)	2003	480	366.91	+	1.31	4.50E-04
positive regulation of cellular metabolic process (GO:0031325)	3274	782	599.72	+	1.30	8.77E-09
positive regulation of nucleic acid-templated transcription (GO:1903508)	1621	387	296.93	+	1.30	1.62E-02
positive regulation of RNA biosynthetic process (GO:1902680)	1622	387	297.11	+	1.30	1.64E-02
regulation of gene expression (GO:0010468)	4465	1065	817.89	+	1.30	6.01E-14
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4135	977	757.44	+	1.29	2.72E-11
regulation of macromolecule metabolic process (GO:0060255)	6129	1443	1122.70	+	1.29	2.75E-20
regulation of cellular biosynthetic process (GO:0031326)	4245	998	777.59	+	1.28	4.08E-11
regulation of metabolic process (GO:0019222)	6652	1563	1218.50	+	1.28	8.58E-23
intracellular signal transduction (GO:0035556)	1707	401	312.68	+	1.28	4.28E-02
regulation of macromolecule biosynthetic process (GO:0010556)	4074	957	746.27	+	1.28	2.47E-10
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3951	926	723.74	+	1.28	1.33E-09
regulation of biosynthetic process (GO:0009889)	4318	1012	790.96	+	1.28	5.01E-11
small molecule metabolic process (GO:0044281)	1834	428	335.95	+	1.27	3.08E-02
regulation of cellular metabolic process (GO:0031323)	6199	1446	1135.52	+	1.27	7.92E-19
regulation of nitrogen compound metabolic process (GO:0051171)	5874	1366	1075.99	+	1.27	1.05E-16
regulation of primary metabolic process (GO:0080090)	6048	1402	1107.86	+	1.27	6.08E-17
regulation of catalytic activity (GO:0050790)	2312	533	423.51	+	1.26	5.30E-03
regulation of RNA metabolic process (GO:0051252)	3831	882	701.75	+	1.26	2.18E-07
negative regulation of biological process (GO:0048519)	5218	1189	955.82	+	1.24	6.97E-11
negative regulation of cellular process (GO:0048523)	4647	1054	851.23	+	1.24	2.00E-08
response to stress (GO:0006950)	3467	785	635.08	+	1.24	6.51E-05
localization (GO:0051179)	5651	1268	1035.14	+	1.22	2.62E-10
establishment of localization (GO:0051234)	4588	1026	840.42	+	1.22	8.86E-07
positive regulation of cellular process (GO:0048522)	5351	1194	980.18	+	1.22	1.14E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3579	797	655.59	+	1.22	5.40E-04
regulation of RNA biosynthetic process (GO:2001141)	3587	797	657.06	+	1.21	8.05E-04
transport (GO:0006810)	4467	984	818.26	+	1.20	4.23E-05
regulation of transcription, DNA-templated (GO:0006355)	3524	775	645.52	+	1.20	5.34E-03
cellular process (GO:0009987)	14424	3167	2642.16	+	1.20	5.78E-67
positive regulation of biological process (GO:0048518)	6091	1335	1115.74	+	1.20	1.97E-08
regulation of cellular process (GO:0050794)	10894	2229	1995.54	+	1.12	3.34E-08
biological regulation (GO:0065007)	12296	2494	2252.35	+	1.11	1.98E-09
biological_process (GO:0008150)	17772	3604	3255.43	+	1.11	5.38E-55
regulation of biological process (GO:0050789)	11608	2352	2126.33	+	1.11	1.23E-07
system process (GO:0003008)	1933	199	354.08	-	.56	3.47E-14
response to bacterium (GO:0009617)	680	60	124.56	-	.48	1.50E-05
nervous system process (GO:0050877)	1362	112	249.49	-	.45	1.03E-16
Unclassified (UNCLASSIFIED)	3224	242	590.57	-	.41	0.00E00
regulation of signaling receptor activity (GO:0010469)	584	43	106.98	-	.40	3.62E-07
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	243	15	44.51	-	.34	2.02E-02
adaptive immune response (GO:0002250)	551	34	100.93	-	.34	3.44E-09
G protein-coupled receptor signaling pathway (GO:0007186)	1318	75	241.43	-	.31	3.46E-29
sensory perception (GO:0007600)	948	53	173.65	-	.31	2.06E-20
keratinization (GO:0031424)	225	10	41.21	-	.24	7.66E-04
detection of stimulus (GO:0051606)	693	29	126.94	-	.23	2.30E-19
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	166	6	30.41	-	.20	6.14E-03
humoral immune response (GO:0006959)	345	12	63.20	-	.19	1.36E-09
complement activation, classical pathway (GO:0006958)	161	5	29.49	-	.17	3.46E-03
complement activation (GO:0006956)	178	5	32.61	-	.15	2.32E-04
defense response to bacterium (GO:0042742)	321	7	58.80	-	.12	6.69E-12
sensory perception of smell (GO:0007608)	462	8	84.63	-	.09	2.42E-20
sensory perception of chemical stimulus (GO:0007606)	534	8	97.82	-	.08	3.86E-25
detection of stimulus involved in sensory perception (GO:0050906)	538	8	98.55	-	.08	2.76E-25
phagocytosis, recognition (GO:0006910)	106	1	19.42	-	.05	5.09E-03
detection of chemical stimulus (GO:0009593)	518	1	94.89	-	.01	8.65E-33
