




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (1447)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cellular response to hypoxia (GO:0071456)	187	38	12.89	+	2.95	3.93E-04
regulation of chromosome organization (GO:0033044)	345	70	23.78	+	2.94	9.70E-10
symbiont process (GO:0044403)	767	155	52.86	+	2.93	5.13E-25
regulation of translation (GO:0006417)	342	69	23.57	+	2.93	1.84E-09
mitotic cell cycle checkpoint (GO:0007093)	159	32	10.96	+	2.92	5.35E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	39	13.44	+	2.90	3.80E-04
protein localization to nucleus (GO:0034504)	150	30	10.34	+	2.90	1.33E-02
ribonucleoprotein complex subunit organization (GO:0071826)	241	48	16.61	+	2.89	1.22E-05
cellular response to decreased oxygen levels (GO:0036294)	197	39	13.58	+	2.87	4.81E-04
mitotic cell cycle (GO:0000278)	677	134	46.66	+	2.87	3.10E-20
regulation of chromatin organization (GO:1902275)	187	37	12.89	+	2.87	1.06E-03
chromatin remodeling (GO:0006338)	162	32	11.16	+	2.87	7.63E-03
nuclear division (GO:0000280)	275	54	18.95	+	2.85	1.82E-06
cellular response to oxygen levels (GO:0071453)	214	42	14.75	+	2.85	1.86E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	413	81	28.46	+	2.85	8.59E-11
translation (GO:0006412)	395	77	27.22	+	2.83	4.83E-10
intracellular receptor signaling pathway (GO:0030522)	175	34	12.06	+	2.82	4.90E-03
negative regulation of cell cycle phase transition (GO:1901988)	232	45	15.99	+	2.81	8.03E-05
ribonucleoprotein complex assembly (GO:0022618)	227	44	15.64	+	2.81	1.19E-04
nuclear export (GO:0051168)	160	31	11.03	+	2.81	1.60E-02
interspecies interaction between organisms (GO:0044419)	810	156	55.82	+	2.79	4.60E-23
mitotic cell cycle phase transition (GO:0044772)	260	50	17.92	+	2.79	2.37E-05
protein deubiquitination (GO:0016579)	276	53	19.02	+	2.79	7.59E-06
RNA localization (GO:0006403)	219	42	15.09	+	2.78	3.28E-04
positive regulation of cell cycle process (GO:0090068)	287	55	19.78	+	2.78	3.64E-06
regulation of nuclear division (GO:0051783)	209	40	14.40	+	2.78	7.22E-04
cell cycle phase transition (GO:0044770)	268	51	18.47	+	2.76	1.91E-05
regulation of cell cycle phase transition (GO:1901987)	447	85	30.81	+	2.76	5.71E-11
RNA catabolic process (GO:0006401)	242	46	16.68	+	2.76	1.30E-04
regulation of viral process (GO:0050792)	200	38	13.78	+	2.76	2.81E-03
peptide biosynthetic process (GO:0043043)	418	79	28.81	+	2.74	6.99E-10
organelle fission (GO:0048285)	303	57	20.88	+	2.73	2.67E-06
modification-dependent protein catabolic process (GO:0019941)	517	97	35.63	+	2.72	1.70E-12
response to hypoxia (GO:0001666)	342	64	23.57	+	2.72	2.45E-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	572	107	39.42	+	2.71	4.52E-14
response to endoplasmic reticulum stress (GO:0034976)	241	45	16.61	+	2.71	2.58E-04
negative regulation of cell cycle process (GO:0010948)	327	61	22.54	+	2.71	8.03E-07
establishment of RNA localization (GO:0051236)	199	37	13.71	+	2.70	5.25E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	511	95	35.22	+	2.70	5.22E-12
regulation of mitotic cell cycle (GO:0007346)	636	118	43.83	+	2.69	2.04E-15
DNA conformation change (GO:0071103)	270	50	18.61	+	2.69	5.09E-05
mRNA catabolic process (GO:0006402)	211	39	14.54	+	2.68	2.76E-03
cellular protein catabolic process (GO:0044257)	601	111	41.42	+	2.68	3.42E-14
positive regulation of cellular protein localization (GO:1903829)	320	59	22.05	+	2.68	2.38E-06
response to decreased oxygen levels (GO:0036293)	353	65	24.33	+	2.67	4.60E-07
modification-dependent macromolecule catabolic process (GO:0043632)	528	97	36.39	+	2.67	4.51E-12
response to oxygen levels (GO:0070482)	377	69	25.98	+	2.66	1.19E-07
negative regulation of mitotic cell cycle (GO:0045930)	306	56	21.09	+	2.66	8.58E-06
cellular macromolecule catabolic process (GO:0044265)	880	161	60.65	+	2.65	6.26E-22
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	175	32	12.06	+	2.65	4.06E-02
RNA transport (GO:0050658)	197	36	13.58	+	2.65	9.72E-03
nucleic acid transport (GO:0050657)	197	36	13.58	+	2.65	9.72E-03
establishment of protein localization to organelle (GO:0072594)	412	75	28.39	+	2.64	1.65E-08
cell cycle process (GO:0022402)	958	174	66.02	+	2.64	1.31E-23
regulation of cellular amide metabolic process (GO:0034248)	408	74	28.12	+	2.63	2.67E-08
protein modification by small protein removal (GO:0070646)	293	53	20.19	+	2.62	5.10E-05
nucleocytoplasmic transport (GO:0006913)	249	45	17.16	+	2.62	5.28E-04
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	229	41	15.78	+	2.60	2.52E-03
nuclear transport (GO:0051169)	252	45	17.37	+	2.59	1.11E-03
peptide metabolic process (GO:0006518)	558	99	38.46	+	2.57	2.30E-11
RNA processing (GO:0006396)	864	153	59.55	+	2.57	3.00E-19
protein catabolic process (GO:0030163)	665	117	45.83	+	2.55	9.62E-14
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	206	36	14.20	+	2.54	2.13E-02
regulation of cell cycle process (GO:0010564)	761	132	52.45	+	2.52	1.52E-15
positive regulation of intracellular transport (GO:0032388)	208	36	14.33	+	2.51	3.74E-02
negative regulation of cell cycle (GO:0045786)	578	100	39.83	+	2.51	6.97E-11
protein folding (GO:0006457)	226	39	15.58	+	2.50	1.37E-02
transcription by RNA polymerase II (GO:0006366)	487	84	33.56	+	2.50	1.03E-08
positive regulation of cell cycle (GO:0045787)	395	68	27.22	+	2.50	1.52E-06
ribonucleoprotein complex biogenesis (GO:0022613)	442	76	30.46	+	2.49	1.71E-07
regulation of protein stability (GO:0031647)	280	48	19.30	+	2.49	8.18E-04
protein-containing complex localization (GO:0031503)	257	44	17.71	+	2.48	3.01E-03
chromosome organization (GO:0051276)	1036	177	71.40	+	2.48	2.17E-21
protein localization to organelle (GO:0033365)	705	120	48.59	+	2.47	2.38E-13
regulation of cellular protein catabolic process (GO:1903362)	247	42	17.02	+	2.47	6.49E-03
Golgi vesicle transport (GO:0048193)	365	62	25.16	+	2.46	1.55E-05
regulation of cellular catabolic process (GO:0031329)	854	145	58.86	+	2.46	1.39E-16
positive regulation of organelle organization (GO:0010638)	611	103	42.11	+	2.45	1.02E-10
cell cycle (GO:0007049)	1314	221	90.56	+	2.44	4.53E-27
macromolecule catabolic process (GO:0009057)	1023	172	70.50	+	2.44	5.74E-20
regulation of gene expression, epigenetic (GO:0040029)	232	39	15.99	+	2.44	2.06E-02
protein targeting (GO:0006605)	351	59	24.19	+	2.44	5.32E-05
meiotic cell cycle (GO:0051321)	222	37	15.30	+	2.42	4.42E-02
cellular response to oxidative stress (GO:0034599)	234	39	16.13	+	2.42	2.40E-02
amide biosynthetic process (GO:0043604)	534	89	36.80	+	2.42	1.02E-08
nucleobase-containing compound transport (GO:0015931)	241	40	16.61	+	2.41	3.01E-02
regulation of catabolic process (GO:0009894)	971	159	66.92	+	2.38	3.38E-17
regulation of protein catabolic process (GO:0042176)	389	63	26.81	+	2.35	7.84E-05
regulation of cellular protein localization (GO:1903827)	525	85	36.18	+	2.35	1.32E-07
regulation of cell cycle (GO:0051726)	1177	188	81.12	+	2.32	6.14E-20
gene expression (GO:0010467)	2005	320	138.18	+	2.32	6.34E-38
DNA repair (GO:0006281)	495	79	34.11	+	2.32	1.28E-06
transcription, DNA-templated (GO:0006351)	644	102	44.38	+	2.30	4.89E-09
RNA metabolic process (GO:0016070)	1669	264	115.02	+	2.30	1.63E-29
negative regulation of organelle organization (GO:0010639)	373	59	25.71	+	2.30	4.19E-04
nucleic acid-templated transcription (GO:0097659)	645	102	44.45	+	2.29	5.08E-09
histone modification (GO:0016570)	367	58	25.29	+	2.29	5.75E-04
nucleobase-containing compound catabolic process (GO:0034655)	406	64	27.98	+	2.29	1.59E-04
RNA biosynthetic process (GO:0032774)	656	103	45.21	+	2.28	4.72E-09
covalent chromatin modification (GO:0016569)	379	59	26.12	+	2.26	9.17E-04
chromatin organization (GO:0006325)	690	106	47.55	+	2.23	9.21E-09
intracellular protein transport (GO:0006886)	981	150	67.61	+	2.22	1.08E-13
negative regulation of catabolic process (GO:0009895)	302	46	20.81	+	2.21	3.63E-02
cellular response to organic cyclic compound (GO:0071407)	482	73	33.22	+	2.20	5.83E-05
ncRNA metabolic process (GO:0034660)	542	82	37.35	+	2.20	6.75E-06
response to oxidative stress (GO:0006979)	378	57	26.05	+	2.19	2.79E-03
response to growth factor (GO:0070848)	525	79	36.18	+	2.18	1.82E-05
cellular response to DNA damage stimulus (GO:0006974)	762	114	52.52	+	2.17	4.65E-09
post-translational protein modification (GO:0043687)	361	54	24.88	+	2.17	7.36E-03
nucleic acid metabolic process (GO:0090304)	2309	345	159.13	+	2.17	4.32E-36
positive regulation of cellular catabolic process (GO:0031331)	355	53	24.47	+	2.17	1.00E-02
neutrophil degranulation (GO:0043312)	483	72	33.29	+	2.16	1.13E-04
regulation of DNA metabolic process (GO:0051052)	424	63	29.22	+	2.16	1.02E-03
neutrophil activation involved in immune response (GO:0002283)	487	72	33.56	+	2.15	1.94E-04
neutrophil mediated immunity (GO:0002446)	494	73	34.05	+	2.14	1.47E-04
cellular response to growth factor stimulus (GO:0071363)	494	73	34.05	+	2.14	1.47E-04
regulation of apoptotic signaling pathway (GO:2001233)	400	59	27.57	+	2.14	3.43E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1675	247	115.44	+	2.14	3.66E-23
in utero embryonic development (GO:0001701)	347	51	23.91	+	2.13	2.26E-02
cellular protein localization (GO:0034613)	1553	228	107.03	+	2.13	1.08E-20
cellular response to stress (GO:0033554)	1662	244	114.54	+	2.13	1.82E-22
establishment of organelle localization (GO:0051656)	402	59	27.70	+	2.13	3.82E-03
cellular amide metabolic process (GO:0043603)	805	118	55.48	+	2.13	6.46E-09
cellular macromolecule biosynthetic process (GO:0034645)	1708	250	117.71	+	2.12	5.28E-23
regulation of organelle organization (GO:0033043)	1272	186	87.66	+	2.12	5.57E-16
cellular component disassembly (GO:0022411)	383	56	26.40	+	2.12	8.97E-03
positive regulation of proteolysis (GO:0045862)	349	51	24.05	+	2.12	3.71E-02
endomembrane system organization (GO:0010256)	397	58	27.36	+	2.12	5.44E-03
cellular macromolecule localization (GO:0070727)	1561	228	107.58	+	2.12	2.32E-20
granulocyte activation (GO:0036230)	501	73	34.53	+	2.11	3.04E-04
cellular protein-containing complex assembly (GO:0034622)	825	120	56.86	+	2.11	7.13E-09
neutrophil activation (GO:0042119)	496	72	34.18	+	2.11	4.27E-04
heterocycle catabolic process (GO:0046700)	455	66	31.36	+	2.10	1.46E-03
leukocyte degranulation (GO:0043299)	505	73	34.80	+	2.10	3.40E-04
protein modification by small protein conjugation (GO:0032446)	765	110	52.72	+	2.09	1.10E-07
myeloid leukocyte mediated immunity (GO:0002444)	515	74	35.49	+	2.08	2.95E-04
myeloid cell activation involved in immune response (GO:0002275)	518	74	35.70	+	2.07	4.99E-04
cellular nitrogen compound catabolic process (GO:0044270)	456	65	31.43	+	2.07	2.63E-03
macromolecule biosynthetic process (GO:0009059)	1761	251	121.36	+	2.07	1.24E-21
regulation of cellular response to stress (GO:0080135)	703	100	48.45	+	2.06	1.59E-06
protein modification by small protein conjugation or removal (GO:0070647)	973	138	67.06	+	2.06	5.34E-10
protein ubiquitination (GO:0016567)	687	97	47.35	+	2.05	4.31E-06
intracellular transport (GO:0046907)	1537	217	105.93	+	2.05	1.50E-17
DNA metabolic process (GO:0006259)	801	113	55.20	+	2.05	1.80E-07
nucleobase-containing compound metabolic process (GO:0006139)	2960	417	204.00	+	2.04	7.57E-40
nucleobase-containing compound biosynthetic process (GO:0034654)	1129	159	77.81	+	2.04	9.91E-12
growth (GO:0040007)	384	54	26.46	+	2.04	4.02E-02
aromatic compound catabolic process (GO:0019439)	470	66	32.39	+	2.04	3.73E-03
positive regulation of catabolic process (GO:0009896)	422	59	29.08	+	2.03	1.72E-02
negative regulation of protein modification process (GO:0031400)	582	81	40.11	+	2.02	2.67E-04
protein-containing complex subunit organization (GO:0043933)	1818	252	125.29	+	2.01	4.11E-20
microtubule cytoskeleton organization (GO:0000226)	456	63	31.43	+	2.00	1.07E-02
heterocycle biosynthetic process (GO:0018130)	1198	165	82.56	+	2.00	1.47E-11
aromatic compound biosynthetic process (GO:0019438)	1207	166	83.18	+	2.00	1.22E-11
organic cyclic compound catabolic process (GO:1901361)	503	69	34.67	+	1.99	5.43E-03
cellular response to hormone stimulus (GO:0032870)	606	83	41.76	+	1.99	3.16E-04
protein-containing complex assembly (GO:0065003)	1538	210	106.00	+	1.98	2.10E-15
heterocycle metabolic process (GO:0046483)	3128	427	215.58	+	1.98	5.72E-38
negative regulation of cellular component organization (GO:0051129)	696	95	47.97	+	1.98	3.31E-05
myeloid leukocyte activation (GO:0002274)	573	78	39.49	+	1.98	1.31E-03
cellular nitrogen compound metabolic process (GO:0034641)	3608	491	248.66	+	1.97	2.09E-45
positive regulation of cellular component organization (GO:0051130)	1223	166	84.29	+	1.97	4.17E-11
organelle localization (GO:0051640)	597	81	41.14	+	1.97	6.36E-04
cellular aromatic compound metabolic process (GO:0006725)	3172	428	218.61	+	1.96	7.50E-37
cellular catabolic process (GO:0044248)	1774	239	122.26	+	1.95	1.92E-17
cellular response to organonitrogen compound (GO:0071417)	520	70	35.84	+	1.95	8.13E-03
protein transport (GO:0015031)	1480	199	102.00	+	1.95	1.22E-13
establishment of protein localization (GO:0045184)	1563	210	107.72	+	1.95	1.37E-14
protein localization (GO:0008104)	2098	281	144.59	+	1.94	6.11E-21
negative regulation of cellular protein metabolic process (GO:0032269)	1023	137	70.50	+	1.94	3.00E-08
protein localization to membrane (GO:0072657)	479	64	33.01	+	1.94	2.79E-02
microtubule-based process (GO:0007017)	644	86	44.38	+	1.94	4.98E-04
cellular localization (GO:0051641)	2392	319	164.85	+	1.94	2.05E-24
establishment of localization in cell (GO:0051649)	1786	238	123.09	+	1.93	9.40E-17
cell activation involved in immune response (GO:0002263)	617	82	42.52	+	1.93	1.50E-03
organonitrogen compound catabolic process (GO:1901565)	1033	137	71.19	+	1.92	5.74E-08
peptide transport (GO:0015833)	1505	199	103.72	+	1.92	5.32E-13
regulation of cytoskeleton organization (GO:0051493)	530	70	36.53	+	1.92	1.56E-02
organelle organization (GO:0006996)	3342	440	230.32	+	1.91	7.25E-36
cellular component biogenesis (GO:0044085)	2680	352	184.70	+	1.91	1.34E-26
organic cyclic compound metabolic process (GO:1901360)	3391	445	233.70	+	1.90	4.52E-36
organic cyclic compound biosynthetic process (GO:1901362)	1344	176	92.63	+	1.90	1.04E-10
amide transport (GO:0042886)	1537	201	105.93	+	1.90	1.04E-12
leukocyte activation involved in immune response (GO:0002366)	613	80	42.25	+	1.89	3.30E-03
cellular response to nitrogen compound (GO:1901699)	584	76	40.25	+	1.89	9.15E-03
regulated exocytosis (GO:0045055)	693	90	47.76	+	1.88	9.14E-04
negative regulation of protein metabolic process (GO:0051248)	1087	141	74.91	+	1.88	1.16E-07
cellular component assembly (GO:0022607)	2459	318	169.47	+	1.88	3.27E-22
response to organic cyclic compound (GO:0014070)	870	112	59.96	+	1.87	2.97E-05
cellular response to endogenous stimulus (GO:0071495)	1159	149	79.88	+	1.87	5.90E-08
apoptotic process (GO:0006915)	904	116	62.30	+	1.86	1.71E-05
exocytosis (GO:0006887)	781	100	53.82	+	1.86	3.00E-04
response to organonitrogen compound (GO:0010243)	917	117	63.20	+	1.85	2.17E-05
macromolecule localization (GO:0033036)	2431	309	167.54	+	1.84	2.51E-20
regulation of cellular localization (GO:0060341)	892	113	61.47	+	1.84	4.79E-05
response to nitrogen compound (GO:1901698)	1010	127	69.61	+	1.82	7.78E-06
organelle assembly (GO:0070925)	712	89	49.07	+	1.81	4.30E-03
organic substance catabolic process (GO:1901575)	1728	216	119.09	+	1.81	4.94E-12
regulation of proteolysis (GO:0030162)	715	89	49.28	+	1.81	4.66E-03
regulation of cellular component organization (GO:0051128)	2479	308	170.85	+	1.80	1.06E-18
negative regulation of gene expression (GO:0010629)	1697	210	116.95	+	1.80	4.35E-11
membrane organization (GO:0061024)	850	105	58.58	+	1.79	6.90E-04
response to endogenous stimulus (GO:0009719)	1433	177	98.76	+	1.79	9.31E-09
catabolic process (GO:0009056)	2012	248	138.66	+	1.79	1.26E-13
cell population proliferation (GO:0008283)	674	83	46.45	+	1.79	2.15E-02
cellular biosynthetic process (GO:0044249)	2795	343	192.63	+	1.78	9.23E-21
positive regulation of gene expression (GO:0010628)	1965	241	135.42	+	1.78	6.24E-13
nitrogen compound transport (GO:0071705)	1803	220	124.26	+	1.77	3.43E-11
regulation of protein kinase activity (GO:0045859)	781	95	53.82	+	1.76	4.63E-03
response to organic substance (GO:0010033)	2921	355	201.31	+	1.76	5.51E-21
positive regulation of RNA metabolic process (GO:0051254)	1705	206	117.51	+	1.75	7.11E-10
regulation of cellular component biogenesis (GO:0044087)	912	110	62.85	+	1.75	8.95E-04
cellular response to organic substance (GO:0071310)	2305	278	158.86	+	1.75	1.05E-14
cellular macromolecule metabolic process (GO:0044260)	5085	612	350.45	+	1.75	9.54E-44
organic substance biosynthetic process (GO:1901576)	2900	349	199.86	+	1.75	6.86E-20
negative regulation of cell death (GO:0060548)	981	118	67.61	+	1.75	4.12E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1897	228	130.74	+	1.74	4.54E-11
enzyme linked receptor protein signaling pathway (GO:0007167)	708	85	48.79	+	1.74	3.65E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	1875	225	129.22	+	1.74	7.02E-11
organonitrogen compound biosynthetic process (GO:1901566)	1442	173	99.38	+	1.74	1.49E-07
regulation of cellular protein metabolic process (GO:0032268)	2566	307	176.84	+	1.74	2.18E-16
cell death (GO:0008219)	1070	128	73.74	+	1.74	1.25E-04
response to hormone (GO:0009725)	903	108	62.23	+	1.74	1.63E-03
cellular protein metabolic process (GO:0044267)	3729	444	256.99	+	1.73	1.48E-26
negative regulation of programmed cell death (GO:0043069)	899	107	61.96	+	1.73	2.99E-03
biosynthetic process (GO:0009058)	2958	352	203.86	+	1.73	2.35E-19
regulation of response to stress (GO:0080134)	1439	171	99.17	+	1.72	4.13E-07
negative regulation of macromolecule metabolic process (GO:0010605)	2609	310	179.81	+	1.72	3.91E-16
vesicle-mediated transport (GO:0016192)	1913	227	131.84	+	1.72	1.70E-10
response to abiotic stimulus (GO:0009628)	1150	136	79.26	+	1.72	6.88E-05
cellular component organization or biogenesis (GO:0071840)	5760	679	396.97	+	1.71	4.14E-48
programmed cell death (GO:0012501)	1035	122	71.33	+	1.71	6.19E-04
positive regulation of biosynthetic process (GO:0009891)	2003	236	138.04	+	1.71	9.51E-11
negative regulation of apoptotic process (GO:0043066)	883	104	60.85	+	1.71	6.72E-03
regulation of programmed cell death (GO:0043067)	1538	181	106.00	+	1.71	2.65E-07
regulation of transferase activity (GO:0051338)	969	114	66.78	+	1.71	1.97E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1972	232	135.91	+	1.71	1.85E-10
regulation of kinase activity (GO:0043549)	860	101	59.27	+	1.70	9.83E-03
cellular component organization (GO:0016043)	5580	655	384.56	+	1.70	8.41E-45
cellular response to oxygen-containing compound (GO:1901701)	989	116	68.16	+	1.70	1.38E-03
regulation of protein localization (GO:0032880)	991	116	68.30	+	1.70	1.88E-03
regulation of apoptotic process (GO:0042981)	1521	178	104.82	+	1.70	5.98E-07
